# p4t1 settings-resolution matrix — see scripts/differential/README.md.
# name	dsn	cli_rules	scheduler_rules	env	argv	board
# `-` is "absent"; rules paths are `D:<name>` (crates/fr-settings/tests/data) or
# `F:<name>` (../freerouting/fixtures); dsn names are fixtures. `board` is either a layer
# count — the synthetic BProbe board, 2 000 000 x 1 000 000, all signal, named
# F.Cu/In1.Cu/In2.Cu/B.Cu — or `dsn`, the fixture read back through the real DSN reader (needed
# by the rows whose .rules file carries (padstack ...) scopes, which want a real library).
#
# `env` is `K=V;K=V`. The two drivers iterate it in DIFFERENT orders — Java keeps the TSV order
# (`LinkedHashMap`, P4T1.java's `parseEnv`), Rust sorts by key (`BTreeMap`, p4t1.rs's
# `parse_env`) — because `EnvironmentVariablesSource` walks a `Map` whose real iteration order is
# `System.getenv`'s and therefore arbitrary anyway. A row must therefore keep its keys
# **order-independent**: never let two keys of one row write the same `RouterSettings` field, or
# the same array by different paths. Every row below sets each field at most once.
dsn-none/rules-none/env-none/cli-none	-	-	-	-	-	2
dsn-none/rules-none/env-none/cli-set	-	-	-	-	--router.max_passes=88 --router.optimizer.enabled=false	2
dsn-none/rules-none/env-set/cli-none	-	-	-	FREEROUTING__ROUTER__MAX_PASSES=77;FREEROUTING__ROUTER__LAYERS__PREFERRED_DIRECTION_HORIZONTAL=true,true	-	2
dsn-none/rules-none/env-set/cli-set	-	-	-	FREEROUTING__ROUTER__MAX_PASSES=77;FREEROUTING__ROUTER__LAYERS__PREFERRED_DIRECTION_HORIZONTAL=true,true	--router.max_passes=88 --router.optimizer.enabled=false	2
dsn-none/rules-cli/env-none/cli-none	-	D:Plan4Matrix-primary.rules	D:Plan4Matrix-primary.rules	-	-	2
dsn-none/rules-cli/env-none/cli-set	-	D:Plan4Matrix-primary.rules	D:Plan4Matrix-primary.rules	-	--router.max_passes=88 --router.optimizer.enabled=false	2
dsn-none/rules-cli/env-set/cli-none	-	D:Plan4Matrix-primary.rules	D:Plan4Matrix-primary.rules	FREEROUTING__ROUTER__MAX_PASSES=77;FREEROUTING__ROUTER__LAYERS__PREFERRED_DIRECTION_HORIZONTAL=true,true	-	2
dsn-none/rules-cli/env-set/cli-set	-	D:Plan4Matrix-primary.rules	D:Plan4Matrix-primary.rules	FREEROUTING__ROUTER__MAX_PASSES=77;FREEROUTING__ROUTER__LAYERS__PREFERRED_DIRECTION_HORIZONTAL=true,true	--router.max_passes=88 --router.optimizer.enabled=false	2
dsn-none/rules-scheduler/env-none/cli-none	-	-	D:Plan4Matrix-adjacent.rules	-	-	2
dsn-none/rules-scheduler/env-none/cli-set	-	-	D:Plan4Matrix-adjacent.rules	-	--router.max_passes=88 --router.optimizer.enabled=false	2
